Country or Area,Male Net enrolment ratio in secondary education,Female Net enrolment ratio in secondary education
Afghanistan,54,46
Albania,83,82
Algeria,68,63
Andorra,74,75
Angola,12,11
Antigua and Barbuda,85,85
Argentina,78,87
Armenia,85,88
Australia,85,86
Austria,83,82
Azerbaijan,68,63
Bahamas,82,88
Bahrain,68,63
Bangladesh,45,50
Barbados,81,88
Belarus,83,82
Belgium,83,82
Belize,71,76
Benin,35,29
Bhutan,50,54
Bolivia (Plurinational State of),68,69
Bosnia and Herzegovina,83,82
Botswana,57,65
Brazil,71,76
Brunei Darussalam,95,99
Bulgaria,84,82
Burkina Faso,18,14
Burundi,18,15
Cambodia,35,29
Cameroon,55.2,52.2
Canada,89.0,88.0
Cape Verde,61,71
Central African Republic,18,10
Chad,35,29
Chile,81,84
China,70,74
Colombia,72,77
Comoros,33,30
Congo,55.2,52.2
Cook Islands,76,82
Costa Rica,71,76
Croatia,88,94
Cuba,86,85
Cyprus,96,96
Czech Republic,83,82
Côte d'Ivoire,73.92857142857143,75.0
Democratic People's Republic of Korea,70,74
Democratic Republic of the Congo,35,29
Denmark,88,91
Djibouti,28,20
Dominica,71,76
Dominican Republic,58,67
Ecuador,71,76
Egypt,71,69
El Salvador,57,59
Equatorial Guinea,55.2,52.2
Eritrea,32,25
Estonia,91,93
Ethiopia,33,30
Fiji,70,74
Finland,94,94
France,98,99
Gabon,55.2,52.2
Gambia,35,29
Georgia,68,63
Germany,83,82
Ghana,51,47
Greece,83,82
Grenada,95,86
Guatemala,43,40
Guinea,36,22
Guinea-Bissau,35,29
Guyana,78,83
Haiti,71,76
Honduras,71,76
Hungary,91,91
Iceland,87,89
India,54,46
Indonesia,68,67
Iran (Islamic Republic of),92,80
Iraq,68,63
Ireland,98,100
Israel,97,100
Italy,94,94
Jamaica,80,87
Japan,99,100
Jordan,83,88
Kazakhstan,89,88
Kenya,52,48
Kiribati,35,29
Kuwait,86,93
Kyrgyzstan,79,79
Lao People's Democratic Republic,42,38
Latvia,83,84
Lebanon,71,79
Lesotho,23,37
Liberia,35,29
Libya,68,63
Liechtenstein,64,64
Lithuania,91,91
Luxembourg,84,86
Madagascar,23,24
Malawi,28,27
Malaysia,65,71
Maldives,54,46
Mali,35,24
Malta,82,80
Marshall Islands,70,74
Mauritania,35,29
Mauritius,33,30
Mexico,70,73
Monaco,83,82
Mongolia,70,74
Montenegro,83,82
Morocco,68,63
Mozambique,17,15
Myanmar,49,52
Namibia,33,30
Nauru,70,74
Nepal,54,46
Netherlands,87,88
New Zealand,94,95
Nicaragua,43,49
Niger,13,8
Nigeria,73.92857142857143,75.0
Norway,94,94
Oman,89,90
Pakistan,38,29
Panama,66,72
Papua New Guinea,70,74
Paraguay,58,62
Peru,77,78
Philippines,56,67
Poland,90,92
Portugal,83,82
Qatar,76,93
Republic of Korea,96,95
Republic of Moldova,78,79
Romania,82,83
Russian Federation,83,82
Rwanda,33,30
Saint Kitts and Nevis,89,88
Saint Lucia,85,85
Saint Vincent and the Grenadines,85,96
Samoa,73,83
San Marino,83,82
Sao Tome and Principe,44,52
Saudi Arabia,78,83
Senegal,35,29
Serbia,89,91
Seychelles,33,30
Sierra Leone,35,29
Singapore,70,74
Slovakia,83,82
Slovenia,91,92
Solomon Islands,35,29
Somalia,33,30
South Africa,33,30
South Sudan,33,30
Spain,94,96
Sri Lanka,54,46
State of Palestine,81,87
Sudan,35,29
Suriname,46,55
Swaziland,29,37
Sweden,94,94
Switzerland,84,82
Syrian Arab Republic,67,67
Tajikistan,90,80
Thailand,68,76
The former Yugoslav Republic of Macedonia,83,82
Timor-Leste,34,39
Togo,35,29
Tonga,70,74
Trinidad and Tobago,71,76
Tunisia,68,63
Turkey,77,71
Turkmenistan,83,82
Tuvalu,35,29
Uganda,33,30
Ukraine,86,86
United Arab Emirates,68,63
United Kingdom,95,97
United Republic of Tanzania,33,30
United States,89,90
Uruguay,66,73
Uzbekistan,93,91
Vanuatu,46,49
Venezuela (Bolivarian Republic of),68,76
Viet Nam,70,74
Yemen,49,31
Zambia,33,30
Zimbabwe,33,30
